dimension,key,maturity_year,companies
region,midwest,1996,1
region,midwest,1997,1
region,midwest,1998,1
region,midwest,2001,2
region,midwest,2002,2
region,midwest,2003,2
region,midwest,2004,4
region,midwest,2005,10
region,midwest,2006,7
region,midwest,2007,6
region,midwest,2008,2
region,midwest,2009,5
region,midwest,2010,7
region,midwest,2011,50
region,midwest,2012,65
region,midwest,2013,65
region,midwest,2014,113
region,midwest,2015,170
region,midwest,2016,253
region,midwest,2017,266
region,midwest,2018,241
region,midwest,2019,330
region,midwest,2020,404
region,midwest,2021,492
region,midwest,2022,512
region,midwest,2023,522
region,midwest,2024,601
region,midwest,2025,637
region,midwest,2026,699
region,midwest,2027,723
region,midwest,2028,687
region,midwest,2029,642
region,midwest,2030,713
region,midwest,2031,770
region,midwest,2032,770
region,midwest,2033,620
region,midwest,2034,712
region,midwest,2035,720
region,midwest,2036,471
region,midwest,2037,401
region,midwest,2038,351
region,midwest,2039,297
region,midwest,2040,330
region,midwest,2041,326
region,midwest,2042,316
region,midwest,2043,240
region,midwest,2044,253
region,midwest,2045,310
region,midwest,2046,475
region,midwest,2047,340
region,midwest,2048,261
region,midwest,2049,275
region,midwest,2050,308
region,midwest,2051,99
region,midwest,2052,5
state,IA,2011,5
state,IA,2012,2
state,IA,2013,6
state,IA,2014,2
state,IA,2015,4
state,IA,2016,12
state,IA,2017,7
state,IA,2018,13
state,IA,2019,16
state,IA,2020,25
state,IA,2021,19
state,IA,2022,21
state,IA,2023,22
state,IA,2024,23
state,IA,2025,22
state,IA,2026,22
state,IA,2027,34
state,IA,2028,35
state,IA,2029,27
state,IA,2030,40
state,IA,2031,19
state,IA,2032,30
state,IA,2033,23
state,IA,2034,15
state,IA,2035,25
state,IA,2036,8
state,IA,2037,16
state,IA,2038,13
state,IA,2039,13
state,IA,2040,11
state,IA,2041,17
state,IA,2042,7
state,IA,2043,9
state,IA,2044,6
state,IA,2045,13
state,IA,2046,11
state,IA,2047,10
state,IA,2048,4
state,IA,2049,6
state,IA,2050,13
state,IA,2051,3
state,IA,2052,1
state,IL,1996,1
state,IL,1997,1
state,IL,2002,2
state,IL,2005,1
state,IL,2007,2
state,IL,2009,1
state,IL,2010,1
state,IL,2011,1
state,IL,2012,4
state,IL,2013,9
state,IL,2014,12
state,IL,2015,24
state,IL,2016,35
state,IL,2017,37
state,IL,2018,32
state,IL,2019,59
state,IL,2020,56
state,IL,2021,60
state,IL,2022,87
state,IL,2023,82
state,IL,2024,105
state,IL,2025,111
state,IL,2026,108
state,IL,2027,111
state,IL,2028,105
state,IL,2029,108
state,IL,2030,103
state,IL,2031,112
state,IL,2032,149
state,IL,2033,102
state,IL,2034,127
state,IL,2035,121
state,IL,2036,70
state,IL,2037,96
state,IL,2038,64
state,IL,2039,50
state,IL,2040,54
state,IL,2041,51
state,IL,2042,42
state,IL,2043,49
state,IL,2044,47
state,IL,2045,49
state,IL,2046,97
state,IL,2047,63
state,IL,2048,45
state,IL,2049,46
state,IL,2050,66
state,IL,2051,24
state,IN,2001,1
state,IN,2003,1
state,IN,2004,2
state,IN,2005,1
state,IN,2007,2
state,IN,2008,1
state,IN,2009,2
state,IN,2011,7
state,IN,2012,7
state,IN,2013,10
state,IN,2014,9
state,IN,2015,22
state,IN,2016,28
state,IN,2017,22
state,IN,2018,40
state,IN,2019,33
state,IN,2020,34
state,IN,2021,54
state,IN,2022,42
state,IN,2023,48
state,IN,2024,45
state,IN,2025,36
state,IN,2026,70
state,IN,2027,70
