dimension,key,maturity_year,companies
region,northeast,1999,4
region,northeast,2001,1
region,northeast,2002,1
region,northeast,2003,2
region,northeast,2005,3
region,northeast,2006,5
region,northeast,2007,6
region,northeast,2008,2
region,northeast,2009,2
region,northeast,2010,5
region,northeast,2011,26
region,northeast,2012,22
region,northeast,2013,32
region,northeast,2014,40
region,northeast,2015,79
region,northeast,2016,114
region,northeast,2017,150
region,northeast,2018,157
region,northeast,2019,164
region,northeast,2020,197
region,northeast,2021,200
region,northeast,2022,237
region,northeast,2023,245
region,northeast,2024,250
region,northeast,2025,323
region,northeast,2026,303
region,northeast,2027,298
region,northeast,2028,353
region,northeast,2029,361
region,northeast,2030,378
region,northeast,2031,339
region,northeast,2032,326
region,northeast,2033,361
region,northeast,2034,451
region,northeast,2035,540
region,northeast,2036,269
region,northeast,2037,192
region,northeast,2038,191
region,northeast,2039,169
region,northeast,2040,162
region,northeast,2041,172
region,northeast,2042,148
region,northeast,2043,140
region,northeast,2044,165
region,northeast,2045,190
region,northeast,2046,253
region,northeast,2047,228
region,northeast,2048,173
region,northeast,2049,185
region,northeast,2050,208
region,northeast,2051,59
region,northeast,2052,2
region,northeast,2056,1
state,CT,2007,1
state,CT,2011,2
state,CT,2012,2
state,CT,2014,3
state,CT,2015,13
state,CT,2016,13
state,CT,2017,8
state,CT,2018,16
state,CT,2019,12
state,CT,2020,16
state,CT,2021,19
state,CT,2022,22
state,CT,2023,26
state,CT,2024,36
state,CT,2025,35
state,CT,2026,29
state,CT,2027,20
state,CT,2028,31
state,CT,2029,27
state,CT,2030,25
state,CT,2031,37
state,CT,2032,21
state,CT,2033,27
state,CT,2034,37
state,CT,2035,45
state,CT,2036,30
state,CT,2037,24
state,CT,2038,18
state,CT,2039,14
state,CT,2040,13
state,CT,2041,13
state,CT,2042,12
state,CT,2043,12
state,CT,2044,13
state,CT,2045,13
state,CT,2046,23
state,CT,2047,21
state,CT,2048,14
state,CT,2049,20
state,CT,2050,13
state,CT,2051,7
state,MA,2001,1
state,MA,2002,1
state,MA,2007,1
state,MA,2011,5
state,MA,2012,2
state,MA,2013,7
state,MA,2014,7
state,MA,2015,6
state,MA,2016,20
state,MA,2017,26
state,MA,2018,23
state,MA,2019,28
state,MA,2020,22
state,MA,2021,39
state,MA,2022,43
state,MA,2023,49
state,MA,2024,38
state,MA,2025,61
state,MA,2026,57
state,MA,2027,46
state,MA,2028,65
state,MA,2029,80
state,MA,2030,64
state,MA,2031,71
state,MA,2032,50
state,MA,2033,58
state,MA,2034,86
state,MA,2035,85
state,MA,2036,48
state,MA,2037,35
state,MA,2038,34
state,MA,2039,24
state,MA,2040,19
state,MA,2041,18
state,MA,2042,15
state,MA,2043,36
state,MA,2044,29
state,MA,2045,51
state,MA,2046,49
state,MA,2047,43
state,MA,2048,32
state,MA,2049,41
state,MA,2050,32
state,MA,2051,10
state,ME,2007,1
state,ME,2011,3
state,ME,2013,1
state,ME,2014,2
state,ME,2016,4
state,ME,2017,5
state,ME,2018,6
state,ME,2019,5
state,ME,2020,12
state,ME,2021,5
state,ME,2022,7
state,ME,2023,6
state,ME,2024,7
state,ME,2025,13
state,ME,2026,16
state,ME,2027,8
state,ME,2028,11
state,ME,2029,12
state,ME,2030,8
state,ME,2031,9
state,ME,2032,11
state,ME,2033,10
state,ME,2034,9
state,ME,2035,13
state,ME,2036,3
state,ME,2037,8
state,ME,2038,8
state,ME,2039,6
state,ME,2040,4
state,ME,2041,8
state,ME,2042,4
state,ME,2043,2
state,ME,2044,7
state,ME,2045,7
state,ME,2046,13
state,ME,2047,8
state,ME,2048,5
state,ME,2049,5
state,ME,2050,8
state,ME,2051,2
state,NH,2003,1
state,NH,2005,1
state,NH,2010,1
state,NH,2011,4
state,NH,2012,6
state,NH,2013,4
state,NH,2014,4
state,NH,2015,1
state,NH,2016,9
state,NH,2017,18
state,NH,2018,16
state,NH,2019,19
state,NH,2020,12
state,NH,2021,13
state,NH,2022,20
state,NH,2023,19
state,NH,2024,21
state,NH,2025,19
state,NH,2026,24
state,NH,2027,17
state,NH,2028,23
state,NH,2029,27
state,NH,2030,28
state,NH,2031,24
state,NH,2032,20
state,NH,2033,18
state,NH,2034,30
state,NH,2035,26
state,NH,2036,17
state,NH,2037,10
state,NH,2038,6
state,NH,2039,10
state,NH,2040,9
state,NH,2041,15
state,NH,2042,5
state,NH,2043,7
state,NH,2044,7
state,NH,2045,11
state,NH,2046,6
state,NH,2047,6
state,NH,2048,6
state,NH,2049,9
state,NH,2050,11
state,NH,2051,2
state,NJ,2006,1
state,NJ,2013,1
state,NJ,2014,2
state,NJ,2015,5
state,NJ,2016,4
state,NJ,2017,10
state,NJ,2018,9
state,NJ,2019,8
state,NJ,2020,23
state,NJ,2021,22
state,NJ,2022,22
state,NJ,2023,22
state,NJ,2024,22
state,NJ,2025,25
state,NJ,2026,33
state,NJ,2027,36
state,NJ,2028,36
state,NJ,2029,37
state,NJ,2030,41
state,NJ,2031,42
state,NJ,2032,41
state,NJ,2033,56
state,NJ,2034,63
state,NJ,2035,95
state,NJ,2036,46
state,NJ,2037,29
state,NJ,2038,32
state,NJ,2039,27
state,NJ,2040,33
state,NJ,2041,39
state,NJ,2042,32
state,NJ,2043,35
state,NJ,2044,24
state,NJ,2045,21
state,NJ,2046,38
state,NJ,2047,48
state,NJ,2048,32
state,NJ,2049,30
state,NJ,2050,45
state,NJ,2051,10
state,NJ,2056,1
state,NY,2003,1
state,NY,2006,3
state,NY,2007,1
state,NY,2008,2
state,NY,2009,2
state,NY,2010,3
state,NY,2011,7
state,NY,2012,7
state,NY,2013,12
state,NY,2014,15
state,NY,2015,35
state,NY,2016,43
state,NY,2017,55
state,NY,2018,59
state,NY,2019,59
state,NY,2020,56
state,NY,2021,57
state,NY,2022,61
state,NY,2023,78
state,NY,2024,70
state,NY,2025,87
state,NY,2026,61
state,NY,2027,108
state,NY,2028,110
state,NY,2029,101
state,NY,2030,112
state,NY,2031,73
state,NY,2032,98
state,NY,2033,107
state,NY,2034,118
state,NY,2035,145
state,NY,2036,67
state,NY,2037,44
state,NY,2038,38
state,NY,2039,45
state,NY,2040,34
state,NY,2041,31
state,NY,2042,33
state,NY,2043,26
state,NY,2044,40
state,NY,2045,41
state,NY,2046,63
state,NY,2047,48
state,NY,2048,49
state,NY,2049,44
state,NY,2050,51
state,NY,2051,15
state,NY,2052,1
state,PA,1999,4
state,PA,2005,1
state,PA,2006,1
state,PA,2007,2
state,PA,2010,1
state,PA,2011,5
state,PA,2012,3
state,PA,2013,6
state,PA,2014,3
state,PA,2015,13
state,PA,2016,13
state,PA,2017,17
state,PA,2018,23
state,PA,2019,24
state,PA,2020,45
state,PA,2021,37
state,PA,2022,38
state,PA,2023,36
state,PA,2024,47
state,PA,2025,67
state,PA,2026,59
state,PA,2027,49
state,PA,2028,64
state,PA,2029,61
state,PA,2030,77
state,PA,2031,73
state,PA,2032,78
state,PA,2033,72
state,PA,2034,94
state,PA,2035,110
state,PA,2036,43
state,PA,2037,32
state,PA,2038,49
state,PA,2039,39
state,PA,2040,44
state,PA,2041,37
state,PA,2042,40
state,PA,2043,21
state,PA,2044,33
state,PA,2045,33
state,PA,2046,52
state,PA,2047,50
state,PA,2048,27
state,PA,2049,29
state,PA,2050,38
state,PA,2051,13
state,PA,2052,1
state,RI,2005,1
state,RI,2012,2
state,RI,2013,1
state,RI,2014,2
state,RI,2015,3
state,RI,2016,7
state,RI,2017,5
state,RI,2018,2
state,RI,2019,6
state,RI,2020,7
state,RI,2021,4
state,RI,2022,21
state,RI,2023,6
state,RI,2024,6
state,RI,2025,10
state,RI,2026,16
state,RI,2027,10
state,RI,2028,8
state,RI,2029,8
state,RI,2030,18
state,RI,2031,8
state,RI,2032,4
state,RI,2033,10
state,RI,2034,11
state,RI,2035,14
state,RI,2036,9
state,RI,2037,9
state,RI,2038,3
state,RI,2039,4
state,RI,2040,4
state,RI,2041,8
state,RI,2042,3
state,RI,2043,1
state,RI,2044,7
state,RI,2045,9
state,RI,2046,8
state,RI,2047,2
state,RI,2048,7
state,RI,2049,3
state,RI,2050,4
state,VT,2014,2
state,VT,2015,3
state,VT,2016,1
state,VT,2017,6
state,VT,2018,3
state,VT,2019,3
state,VT,2020,4
state,VT,2021,4
state,VT,2022,3
state,VT,2023,3
state,VT,2024,3
state,VT,2025,6
state,VT,2026,8
state,VT,2027,4
state,VT,2028,5
state,VT,2029,8
state,VT,2030,5
state,VT,2031,2
state,VT,2032,3
state,VT,2033,3
state,VT,2034,3
state,VT,2035,7
state,VT,2036,6
state,VT,2037,1
state,VT,2038,3
state,VT,2040,2
state,VT,2041,3
state,VT,2042,4
state,VT,2044,5
state,VT,2045,4
state,VT,2046,1
state,VT,2047,2
state,VT,2048,1
state,VT,2049,4
state,VT,2050,6
