dimension,key,maturity_year,companies
region,south_central,1993,1
region,south_central,2002,1
region,south_central,2004,3
region,south_central,2006,2
region,south_central,2007,1
region,south_central,2008,1
region,south_central,2009,1
region,south_central,2010,3
region,south_central,2011,8
region,south_central,2012,10
region,south_central,2013,19
region,south_central,2014,19
region,south_central,2015,41
region,south_central,2016,59
region,south_central,2017,75
region,south_central,2018,86
region,south_central,2019,88
region,south_central,2020,145
region,south_central,2021,144
region,south_central,2022,151
region,south_central,2023,177
region,south_central,2024,190
region,south_central,2025,233
region,south_central,2026,265
region,south_central,2027,244
region,south_central,2028,260
region,south_central,2029,247
region,south_central,2030,286
region,south_central,2031,277
region,south_central,2032,271
region,south_central,2033,280
region,south_central,2034,342
region,south_central,2035,367
region,south_central,2036,206
region,south_central,2037,128
region,south_central,2038,136
region,south_central,2039,126
region,south_central,2040,142
region,south_central,2041,135
region,south_central,2042,140
region,south_central,2043,126
region,south_central,2044,117
region,south_central,2045,139
region,south_central,2046,170
region,south_central,2047,128
region,south_central,2048,102
region,south_central,2049,131
region,south_central,2050,114
region,south_central,2051,56
region,south_central,2052,5
state,AR,2011,1
state,AR,2013,1
state,AR,2014,1
state,AR,2015,3
state,AR,2016,6
state,AR,2017,2
state,AR,2018,5
state,AR,2019,3
state,AR,2020,3
state,AR,2021,4
state,AR,2022,5
state,AR,2023,6
state,AR,2024,9
state,AR,2025,11
state,AR,2026,12
state,AR,2027,15
state,AR,2028,9
state,AR,2029,12
state,AR,2030,17
state,AR,2031,16
state,AR,2032,12
state,AR,2033,9
state,AR,2034,10
state,AR,2035,23
state,AR,2036,5
state,AR,2037,6
state,AR,2038,6
state,AR,2039,5
state,AR,2040,8
state,AR,2041,6
state,AR,2042,10
state,AR,2043,6
state,AR,2044,4
state,AR,2045,7
state,AR,2046,7
state,AR,2047,4
state,AR,2048,3
state,AR,2049,7
state,AR,2050,3
state,AR,2051,1
state,AR,2052,2
state,LA,2011,1
state,LA,2012,1
state,LA,2013,1
state,LA,2014,1
state,LA,2015,2
state,LA,2016,5
state,LA,2017,7
state,LA,2018,9
state,LA,2019,7
state,LA,2020,9
state,LA,2021,8
state,LA,2022,12
state,LA,2023,12
state,LA,2024,11
state,LA,2025,16
state,LA,2026,27
state,LA,2027,14
state,LA,2028,24
state,LA,2029,19
state,LA,2030,15
state,LA,2031,25
state,LA,2032,13
state,LA,2033,12
state,LA,2034,21
state,LA,2035,23
state,LA,2036,14
state,LA,2037,11
state,LA,2038,13
state,LA,2039,10
state,LA,2040,14
state,LA,2041,10
state,LA,2042,9
state,LA,2043,13
state,LA,2044,10
state,LA,2045,12
state,LA,2046,15
state,LA,2047,2
state,LA,2048,5
state,LA,2049,12
state,LA,2050,10
state,LA,2051,4
state,LA,2052,1
state,OK,2004,3
state,OK,2007,1
state,OK,2010,1
state,OK,2011,2
state,OK,2012,2
state,OK,2013,6
state,OK,2014,3
state,OK,2015,4
state,OK,2016,14
state,OK,2017,9
state,OK,2018,10
state,OK,2019,12
state,OK,2020,20
state,OK,2021,19
state,OK,2022,21
state,OK,2023,21
state,OK,2024,24
state,OK,2025,21
state,OK,2026,41
state,OK,2027,34
state,OK,2028,34
state,OK,2029,23
state,OK,2030,44
state,OK,2031,36
state,OK,2032,36
state,OK,2033,25
state,OK,2034,28
state,OK,2035,23
state,OK,2036,17
state,OK,2037,15
state,OK,2038,15
state,OK,2039,13
state,OK,2040,16
state,OK,2041,23
state,OK,2042,12
state,OK,2043,6
state,OK,2044,9
state,OK,2045,8
state,OK,2046,17
state,OK,2047,10
state,OK,2048,9
state,OK,2049,9
state,OK,2050,8
state,OK,2051,3
state,TX,1993,1
state,TX,2002,1
state,TX,2006,2
state,TX,2008,1
state,TX,2009,1
state,TX,2010,2
state,TX,2011,4
state,TX,2012,7
state,TX,2013,11
state,TX,2014,14
state,TX,2015,32
state,TX,2016,34
state,TX,2017,57
state,TX,2018,62
state,TX,2019,66
state,TX,2020,113
state,TX,2021,113
state,TX,2022,113
state,TX,2023,138
state,TX,2024,146
state,TX,2025,185
state,TX,2026,185
state,TX,2027,181
state,TX,2028,193
state,TX,2029,193
state,TX,2030,210
state,TX,2031,200
state,TX,2032,210
state,TX,2033,234
state,TX,2034,283
state,TX,2035,298
state,TX,2036,170
state,TX,2037,96
state,TX,2038,102
state,TX,2039,98
state,TX,2040,104
state,TX,2041,96
state,TX,2042,109
state,TX,2043,101
state,TX,2044,94
state,TX,2045,112
state,TX,2046,131
state,TX,2047,112
state,TX,2048,85
state,TX,2049,103
state,TX,2050,93
state,TX,2051,48
state,TX,2052,2
