dimension,key,maturity_year,companies
region,southeast,1997,1
region,southeast,2001,1
region,southeast,2002,2
region,southeast,2003,7
region,southeast,2004,1
region,southeast,2005,3
region,southeast,2006,2
region,southeast,2007,1
region,southeast,2008,1
region,southeast,2010,4
region,southeast,2011,23
region,southeast,2012,31
region,southeast,2013,35
region,southeast,2014,47
region,southeast,2015,73
region,southeast,2016,109
region,southeast,2017,105
region,southeast,2018,127
region,southeast,2019,141
region,southeast,2020,219
region,southeast,2021,210
region,southeast,2022,280
region,southeast,2023,256
region,southeast,2024,334
region,southeast,2025,384
region,southeast,2026,439
region,southeast,2027,507
region,southeast,2028,436
region,southeast,2029,462
region,southeast,2030,469
region,southeast,2031,472
region,southeast,2032,467
region,southeast,2033,479
region,southeast,2034,673
region,southeast,2035,745
region,southeast,2036,415
region,southeast,2037,331
region,southeast,2038,279
region,southeast,2039,226
region,southeast,2040,258
region,southeast,2041,275
region,southeast,2042,276
region,southeast,2043,246
region,southeast,2044,277
region,southeast,2045,302
region,southeast,2046,364
region,southeast,2047,268
region,southeast,2048,272
region,southeast,2049,302
region,southeast,2050,303
region,southeast,2051,104
region,southeast,2052,8
state,AL,2002,1
state,AL,2003,1
state,AL,2010,1
state,AL,2011,3
state,AL,2012,3
state,AL,2013,3
state,AL,2014,12
state,AL,2015,7
state,AL,2016,6
state,AL,2017,5
state,AL,2018,13
state,AL,2019,9
state,AL,2020,21
state,AL,2021,18
state,AL,2022,20
state,AL,2023,15
state,AL,2024,14
state,AL,2025,14
state,AL,2026,13
state,AL,2027,17
state,AL,2028,20
state,AL,2029,26
state,AL,2030,33
state,AL,2031,22
state,AL,2032,27
state,AL,2033,24
state,AL,2034,31
state,AL,2035,33
state,AL,2036,22
state,AL,2037,14
state,AL,2038,13
state,AL,2039,9
state,AL,2040,7
state,AL,2041,15
state,AL,2042,9
state,AL,2043,7
state,AL,2044,9
state,AL,2045,15
state,AL,2046,16
state,AL,2047,7
state,AL,2048,15
state,AL,2049,5
state,AL,2050,15
state,AL,2051,1
state,AL,2052,2
state,DC,2014,1
state,DC,2015,3
state,DC,2018,1
state,DC,2019,1
state,DC,2020,2
state,DC,2021,2
state,DC,2023,1
state,DC,2024,1
state,DC,2027,4
state,DC,2028,1
state,DC,2030,1
state,DC,2031,3
state,DC,2033,1
state,DC,2034,3
state,DC,2035,1
state,DC,2036,3
state,DC,2037,1
state,DC,2039,5
state,DC,2040,1
state,DC,2042,1
state,DC,2043,1
state,DC,2044,1
state,DC,2046,1
state,DC,2047,1
state,DC,2048,1
state,FL,2003,1
state,FL,2011,7
state,FL,2012,5
state,FL,2013,7
state,FL,2014,9
state,FL,2015,12
state,FL,2016,22
state,FL,2017,21
state,FL,2018,26
state,FL,2019,38
state,FL,2020,51
state,FL,2021,58
state,FL,2022,78
state,FL,2023,89
state,FL,2024,99
state,FL,2025,114
state,FL,2026,152
state,FL,2027,174
state,FL,2028,148
state,FL,2029,157
state,FL,2030,156
state,FL,2031,163
state,FL,2032,165
state,FL,2033,204
state,FL,2034,251
state,FL,2035,270
state,FL,2036,157
state,FL,2037,116
state,FL,2038,83
state,FL,2039,60
state,FL,2040,80
state,FL,2041,86
state,FL,2042,109
state,FL,2043,76
state,FL,2044,104
state,FL,2045,122
state,FL,2046,148
state,FL,2047,110
state,FL,2048,122
state,FL,2049,137
state,FL,2050,150
state,FL,2051,38
state,FL,2052,2
state,GA,2001,1
state,GA,2002,1
state,GA,2003,1
state,GA,2005,2
state,GA,2010,1
state,GA,2011,3
state,GA,2012,6
state,GA,2013,4
state,GA,2014,1
state,GA,2015,6
state,GA,2016,12
state,GA,2017,14
state,GA,2018,22
state,GA,2019,17
state,GA,2020,33
state,GA,2021,28
state,GA,2022,42
state,GA,2023,39
state,GA,2024,45
state,GA,2025,62
state,GA,2026,76
state,GA,2027,74
state,GA,2028,79
state,GA,2029,62
state,GA,2030,68
state,GA,2031,77
state,GA,2032,73
state,GA,2033,65
state,GA,2034,67
state,GA,2035,96
state,GA,2036,61
state,GA,2037,57
state,GA,2038,58
state,GA,2039,41
state,GA,2040,43
state,GA,2041,48
state,GA,2042,42
state,GA,2043,51
state,GA,2044,56
state,GA,2045,50
state,GA,2046,58
state,GA,2047,43
state,GA,2048,44
state,GA,2049,38
state,GA,2050,32
state,GA,2051,17
state,GA,2052,1
state,KY,2007,1
state,KY,2011,1
state,KY,2012,1
state,KY,2013,2
state,KY,2014,4
state,KY,2015,6
state,KY,2016,6
state,KY,2017,7
state,KY,2018,4
state,KY,2019,10
state,KY,2020,13
state,KY,2021,12
state,KY,2022,13
state,KY,2023,9
state,KY,2024,22
state,KY,2025,19
state,KY,2026,13
state,KY,2027,17
state,KY,2028,10
state,KY,2029,21
state,KY,2030,14
state,KY,2031,12
state,KY,2032,26
state,KY,2033,17
state,KY,2034,24
state,KY,2035,22
state,KY,2036,11
state,KY,2037,6
state,KY,2038,12
state,KY,2039,6
state,KY,2040,14
state,KY,2041,7
state,KY,2042,11
state,KY,2043,9
state,KY,2044,9
state,KY,2045,9
state,KY,2046,6
state,KY,2047,11
state,KY,2048,5
state,KY,2049,8
state,KY,2050,9
state,KY,2051,2
state,MD,1997,1
state,MD,2006,1
state,MD,2011,2
state,MD,2012,4
state,MD,2013,2
state,MD,2014,5
state,MD,2015,5
state,MD,2016,16
state,MD,2017,16
state,MD,2018,12
state,MD,2019,15
state,MD,2020,13
state,MD,2021,16
state,MD,2022,19
state,MD,2023,20
state,MD,2024,16
state,MD,2025,23
state,MD,2026,28
state,MD,2027,32
state,MD,2028,21
state,MD,2029,16
state,MD,2030,20
state,MD,2031,19
state,MD,2032,30
state,MD,2033,27
state,MD,2034,37
state,MD,2035,49
state,MD,2036,26
state,MD,2037,13
state,MD,2038,18
state,MD,2039,9
state,MD,2040,11
state,MD,2041,10
state,MD,2042,7
state,MD,2043,11
state,MD,2044,18
state,MD,2045,11
state,MD,2046,18
state,MD,2047,8
state,MD,2048,14
state,MD,2049,17
state,MD,2050,16
state,MD,2051,4
state,MS,2011,1
state,MS,2012,3
state,MS,2014,3
state,MS,2015,5
state,MS,2016,3
state,MS,2017,4
state,MS,2018,3
state,MS,2019,7
state,MS,2020,3
state,MS,2021,4
state,MS,2022,12
state,MS,2023,6
state,MS,2024,11
state,MS,2025,12
state,MS,2026,10
state,MS,2027,7
state,MS,2028,9
state,MS,2029,9
state,MS,2030,6
state,MS,2031,13
state,MS,2032,8
state,MS,2033,4
state,MS,2034,14
state,MS,2035,9
state,MS,2036,7
state,MS,2037,4
state,MS,2038,6
state,MS,2039,6
state,MS,2040,6
state,MS,2041,7
state,MS,2042,3
state,MS,2043,3
state,MS,2044,5
state,MS,2045,3
state,MS,2046,2
state,MS,2047,2
state,MS,2048,1
state,MS,2049,3
state,MS,2050,1
state,MS,2051,6
state,NC,2003,2
state,NC,2008,1
state,NC,2010,1
state,NC,2011,1
state,NC,2012,3
state,NC,2013,7
state,NC,2014,8
state,NC,2015,8
state,NC,2016,21
state,NC,2017,16
state,NC,2018,18
state,NC,2019,13
state,NC,2020,33
state,NC,2021,23
state,NC,2022,34
state,NC,2023,22
state,NC,2024,37
state,NC,2025,52
state,NC,2026,41
state,NC,2027,70
state,NC,2028,57
state,NC,2029,67
state,NC,2030,52
state,NC,2031,60
state,NC,2032,47
state,NC,2033,65
state,NC,2034,96
state,NC,2035,108
state,NC,2036,51
state,NC,2037,42
state,NC,2038,32
state,NC,2039,32
state,NC,2040,39
state,NC,2041,42
state,NC,2042,32
state,NC,2043,35
state,NC,2044,21
state,NC,2045,33
state,NC,2046,40
state,NC,2047,32
state,NC,2048,27
state,NC,2049,37
state,NC,2050,32
state,NC,2051,12
state,NC,2052,1
state,SC,2013,2
state,SC,2015,4
state,SC,2016,5
state,SC,2017,1
state,SC,2018,6
state,SC,2019,3
state,SC,2020,5
state,SC,2021,12
state,SC,2022,11
state,SC,2023,15
state,SC,2024,18
state,SC,2025,20
state,SC,2026,19
state,SC,2027,24
state,SC,2028,25
state,SC,2029,22
state,SC,2030,25
state,SC,2031,28
state,SC,2032,21
state,SC,2033,19
state,SC,2034,39
state,SC,2035,40
state,SC,2036,19
state,SC,2037,17
state,SC,2038,13
state,SC,2039,16
state,SC,2040,13
state,SC,2041,12
state,SC,2042,17
state,SC,2043,15
state,SC,2044,8
state,SC,2045,22
state,SC,2046,21
state,SC,2047,15
state,SC,2048,10
state,SC,2049,16
state,SC,2050,12
state,SC,2051,7
state,TN,2003,1
state,TN,2005,1
state,TN,2006,1
state,TN,2011,1
state,TN,2012,3
state,TN,2013,1
state,TN,2014,1
state,TN,2015,5
state,TN,2016,4
state,TN,2017,3
state,TN,2018,7
state,TN,2019,6
state,TN,2020,16
state,TN,2021,5
state,TN,2022,18
state,TN,2023,15
state,TN,2024,21
state,TN,2025,16
state,TN,2026,24
state,TN,2027,30
state,TN,2028,23
state,TN,2029,30
state,TN,2030,32
state,TN,2031,26
state,TN,2032,27
state,TN,2033,15
state,TN,2034,48
state,TN,2035,45
state,TN,2036,15
state,TN,2037,12
state,TN,2038,13
state,TN,2039,16
state,TN,2040,17
state,TN,2041,20
state,TN,2042,16
state,TN,2043,11
state,TN,2044,8
state,TN,2045,12
state,TN,2046,11
state,TN,2047,11
state,TN,2048,14
state,TN,2049,14
state,TN,2050,13
state,TN,2051,8
state,TN,2052,2
state,VA,2004,1
state,VA,2010,1
state,VA,2011,3
state,VA,2012,3
state,VA,2013,5
state,VA,2014,3
state,VA,2015,12
state,VA,2016,14
state,VA,2017,16
state,VA,2018,14
state,VA,2019,18
state,VA,2020,25
state,VA,2021,29
state,VA,2022,33
state,VA,2023,25
state,VA,2024,44
state,VA,2025,50
state,VA,2026,58
state,VA,2027,53
state,VA,2028,39
state,VA,2029,50
state,VA,2030,51
state,VA,2031,42
state,VA,2032,40
state,VA,2033,35
state,VA,2034,56
state,VA,2035,67
state,VA,2036,42
state,VA,2037,41
state,VA,2038,27
state,VA,2039,22
state,VA,2040,22
state,VA,2041,22
state,VA,2042,27
state,VA,2043,21
state,VA,2044,34
state,VA,2045,22
state,VA,2046,37
state,VA,2047,25
state,VA,2048,16
state,VA,2049,25
state,VA,2050,22
state,VA,2051,8
state,WV,2003,1
state,WV,2011,1
state,WV,2013,2
state,WV,2017,2
state,WV,2018,1
state,WV,2019,4
state,WV,2020,4
state,WV,2021,3
state,WV,2024,6
state,WV,2025,2
state,WV,2026,5
state,WV,2027,5
state,WV,2028,4
