dimension,key,maturity_year,companies
region,west,2002,4
region,west,2004,1
region,west,2005,1
region,west,2006,3
region,west,2007,4
region,west,2009,2
region,west,2010,15
region,west,2011,33
region,west,2012,44
region,west,2013,49
region,west,2014,93
region,west,2015,141
region,west,2016,217
region,west,2017,203
region,west,2018,239
region,west,2019,328
region,west,2020,443
region,west,2021,517
region,west,2022,569
region,west,2023,647
region,west,2024,722
region,west,2025,808
region,west,2026,931
region,west,2027,964
region,west,2028,777
region,west,2029,751
region,west,2030,740
region,west,2031,786
region,west,2032,760
region,west,2033,660
region,west,2034,875
region,west,2035,1128
region,west,2036,626
region,west,2037,589
region,west,2038,498
region,west,2039,427
region,west,2040,473
region,west,2041,492
region,west,2042,455
region,west,2043,504
region,west,2044,543
region,west,2045,649
region,west,2046,898
region,west,2047,657
region,west,2048,470
region,west,2049,510
region,west,2050,521
region,west,2051,214
region,west,2052,4
state,AK,2014,1
state,AK,2017,1
state,AK,2018,1
state,AK,2019,1
state,AK,2020,1
state,AK,2021,3
state,AK,2022,4
state,AK,2023,12
state,AK,2024,4
state,AK,2025,3
state,AK,2026,2
state,AK,2027,10
state,AK,2028,6
state,AK,2029,4
state,AK,2030,7
state,AK,2031,5
state,AK,2032,6
state,AK,2033,5
state,AK,2034,5
state,AK,2035,6
state,AK,2036,6
state,AK,2037,4
state,AK,2038,5
state,AK,2039,1
state,AK,2040,3
state,AK,2041,4
state,AK,2042,5
state,AK,2043,3
state,AK,2044,4
state,AK,2045,4
state,AK,2046,2
state,AK,2047,6
state,AK,2048,1
state,AK,2049,4
state,AK,2050,4
state,AK,2051,5
state,AZ,2010,1
state,AZ,2011,2
state,AZ,2012,4
state,AZ,2013,5
state,AZ,2014,8
state,AZ,2015,12
state,AZ,2016,13
state,AZ,2017,15
state,AZ,2018,14
state,AZ,2019,20
state,AZ,2020,32
state,AZ,2021,36
state,AZ,2022,57
state,AZ,2023,44
state,AZ,2024,57
state,AZ,2025,53
state,AZ,2026,69
state,AZ,2027,102
state,AZ,2028,67
state,AZ,2029,58
state,AZ,2030,57
state,AZ,2031,74
state,AZ,2032,51
state,AZ,2033,59
state,AZ,2034,59
state,AZ,2035,103
state,AZ,2036,52
state,AZ,2037,37
state,AZ,2038,42
state,AZ,2039,34
