dimension,key,maturity_year,companies
national,all,1993,1
national,all,1996,1
national,all,1997,2
national,all,1998,1
national,all,1999,4
national,all,2001,4
national,all,2002,10
national,all,2003,11
national,all,2004,9
national,all,2005,17
national,all,2006,19
national,all,2007,18
national,all,2008,6
national,all,2009,10
national,all,2010,34
national,all,2011,141
national,all,2012,172
national,all,2013,200
national,all,2014,312
national,all,2015,504
national,all,2016,755
national,all,2017,799
national,all,2018,850
national,all,2019,1052
national,all,2020,1410
national,all,2021,1565
national,all,2022,1750
national,all,2023,1849
national,all,2024,2099
national,all,2025,2387
national,all,2026,2639
national,all,2027,2737
national,all,2028,2516
national,all,2029,2464
national,all,2030,2589
national,all,2031,2651
national,all,2032,2598
national,all,2033,2410
national,all,2034,3056
national,all,2035,3510
national,all,2036,1992
national,all,2037,1645
national,all,2038,1456
national,all,2039,1251
national,all,2040,1370
national,all,2041,1403
national,all,2042,1338
national,all,2043,1256
national,all,2044,1357
national,all,2045,1592
national,all,2046,2163
national,all,2047,1624
national,all,2048,1281
national,all,2049,1406
national,all,2050,1454
national,all,2051,532
national,all,2052,24
national,all,2056,1
state,AK,2014,1
state,AK,2017,1
state,AK,2018,1
state,AK,2019,1
state,AK,2020,1
state,AK,2021,3
state,AK,2022,4
state,AK,2023,12
state,AK,2024,4
state,AK,2025,3
state,AK,2026,2
state,AK,2027,10
state,AK,2028,6
state,AK,2029,4
state,AK,2030,7
state,AK,2031,5
state,AK,2032,6
state,AK,2033,5
state,AK,2034,5
state,AK,2035,6
state,AK,2036,6
state,AK,2037,4
state,AK,2038,5
state,AK,2039,1
state,AK,2040,3
state,AK,2041,4
state,AK,2042,5
state,AK,2043,3
state,AK,2044,4
state,AK,2045,4
state,AK,2046,2
state,AK,2047,6
state,AK,2048,1
state,AK,2049,4
state,AK,2050,4
state,AK,2051,5
state,AL,2002,1
state,AL,2003,1
state,AL,2010,1
state,AL,2011,3
state,AL,2012,3
state,AL,2013,3
state,AL,2014,12
state,AL,2015,7
state,AL,2016,6
state,AL,2017,5
state,AL,2018,13
state,AL,2019,9
state,AL,2020,21
state,AL,2021,18
state,AL,2022,20
state,AL,2023,15
state,AL,2024,14
state,AL,2025,14
state,AL,2026,13
state,AL,2027,17
state,AL,2028,20
state,AL,2029,26
state,AL,2030,33
state,AL,2031,22
state,AL,2032,27
state,AL,2033,24
state,AL,2034,31
state,AL,2035,33
state,AL,2036,22
state,AL,2037,14
state,AL,2038,13
state,AL,2039,9
state,AL,2040,7
state,AL,2041,15
state,AL,2042,9
state,AL,2043,7
state,AL,2044,9
state,AL,2045,15
state,AL,2046,16
state,AL,2047,7
state,AL,2048,15
state,AL,2049,5
state,AL,2050,15
state,AL,2051,1
state,AL,2052,2
state,AR,2011,1
state,AR,2013,1
state,AR,2014,1
state,AR,2015,3
state,AR,2016,6
state,AR,2017,2
state,AR,2018,5
state,AR,2019,3
state,AR,2020,3
state,AR,2021,4
state,AR,2022,5
state,AR,2023,6
state,AR,2024,9
state,AR,2025,11
state,AR,2026,12
state,AR,2027,15
state,AR,2028,9
state,AR,2029,12
state,AR,2030,17
state,AR,2031,16
state,AR,2032,12
state,AR,2033,9
state,AR,2034,10
state,AR,2035,23
state,AR,2036,5
state,AR,2037,6
state,AR,2038,6
state,AR,2039,5
state,AR,2040,8
state,AR,2041,6
state,AR,2042,10
state,AR,2043,6
state,AR,2044,4
state,AR,2045,7
state,AR,2046,7
state,AR,2047,4
state,AR,2048,3
state,AR,2049,7
state,AR,2050,3
state,AR,2051,1
state,AR,2052,2
state,AZ,2010,1
state,AZ,2011,2
state,AZ,2012,4
state,AZ,2013,5
state,AZ,2014,8
state,AZ,2015,12
state,AZ,2016,13
state,AZ,2017,15
state,AZ,2018,14
state,AZ,2019,20
state,AZ,2020,32
state,AZ,2021,36
state,AZ,2022,57
state,AZ,2023,44
state,AZ,2024,57
state,AZ,2025,53
state,AZ,2026,69
state,AZ,2027,102
state,AZ,2028,67
state,AZ,2029,58
state,AZ,2030,57
state,AZ,2031,74
state,AZ,2032,51
state,AZ,2033,59
state,AZ,2034,59
state,AZ,2035,103
state,AZ,2036,52
state,AZ,2037,37
state,AZ,2038,42
state,AZ,2039,34
state,AZ,2040,53
state,AZ,2041,43
state,AZ,2042,55
state,AZ,2043,49
state,AZ,2044,34
state,AZ,2045,51
state,AZ,2046,58
state,AZ,2047,54
state,AZ,2048,31
state,AZ,2049,47
state,AZ,2050,65
state,AZ,2051,24
state,AZ,2052,1
state,CA,2004,1
state,CA,2006,2
state,CA,2007,4
state,CA,2009,1
state,CA,2010,5
state,CA,2011,15
state,CA,2012,15
state,CA,2013,18
state,CA,2014,39
state,CA,2015,62
state,CA,2016,98
state,CA,2017,96
state,CA,2018,111
state,CA,2019,161
state,CA,2020,201
state,CA,2021,272
state,CA,2022,277
state,CA,2023,328
state,CA,2024,389
state,CA,2025,447
state,CA,2026,487
state,CA,2027,508
state,CA,2028,353
state,CA,2029,353
state,CA,2030,361
state,CA,2031,350
state,CA,2032,343
state,CA,2033,309
state,CA,2034,443
state,CA,2035,536
state,CA,2036,308
state,CA,2037,310
state,CA,2038,267
state,CA,2039,240
state,CA,2040,232
state,CA,2041,264
state,CA,2042,245
state,CA,2043,266
state,CA,2044,271
state,CA,2045,334
state,CA,2046,478
state,CA,2047,337
state,CA,2048,265
state,CA,2049,282
state,CA,2050,268
state,CA,2051,109
state,CA,2052,1
state,CO,2002,1
state,CO,2010,1
state,CO,2011,3
state,CO,2012,1
state,CO,2013,5
state,CO,2014,11
state,CO,2015,14
state,CO,2016,19
state,CO,2017,17
state,CO,2018,27
state,CO,2019,27
state,CO,2020,43
state,CO,2021,47
state,CO,2022,50
state,CO,2023,61
state,CO,2024,67
state,CO,2025,77
state,CO,2026,86
state,CO,2027,86
state,CO,2028,101
state,CO,2029,88
state,CO,2030,84
